311-1.0KGRCT-ND,0.10000 @ qty2,+/-5%,1k,0603 (1608 Metric)
PNM0603-5.0KBCT-ND,2.93000 @ qty8,+/-0.1%,5k,0603 (1608 Metric)
311-2.20KHRCT-ND,0.10000 @ qty1,+/-1%,2.2k,0603 (1608 Metric)
53J500E-ND,0.43100 @ qty10,+/-5%,500,Axial
1276-1095-1-ND,0.02640 @ qty47,+/-0.1pF,1pF,0603 (1608 Metric)
490-3298-1-ND,0.04420 @ qty123,+/-20%,10uF,0603 (1608 Metric)
